House_ID,Area,Bedrooms,Bathrooms,Garage,Floors,Has_Garden,Location_Score,Year_Built,Distance_Center,Renovated,Price
278,1440,2,1,0,2,0,1,2018,30,0,175000
279,2602,4,3,0,3,0,6,2016,28,0,335200
280,3320,5,1,1,2,1,9,1990,24,0,404000
281,2769,4,2,1,1,1,2,1970,50,1,274900
282,2998,4,3,0,2,1,6,1996,0,0,399800
283,2238,4,3,0,2,1,5,1998,39,0,265300
284,2434,3,1,0,2,0,8,2020,4,0,339400
285,1062,5,3,0,2,0,4,1994,19,1,182700
286,2587,3,3,0,3,0,8,1982,18,0,308700
287,2991,5,3,0,2,0,7,2023,2,0,429100
288,3193,3,3,1,2,1,2,2009,21,0,390800
289,1423,5,3,0,2,1,5,2025,28,1,244300
290,1816,1,2,1,2,1,1,2003,47,1,188100
291,1680,4,1,1,2,0,9,1991,23,1,233500
292,2849,2,1,0,1,0,6,2023,30,1,334900
293,3744,4,3,0,3,0,8,1987,25,0,428900
294,2127,5,3,0,2,0,7,1979,35,1,256200
295,3101,2,1,0,3,0,4,2002,33,1,336600
296,1252,4,3,0,1,1,8,2007,22,0,204200
297,3908,5,2,0,3,0,8,1973,16,0,449800
298,1983,4,1,0,3,0,8,1999,12,1,281300
299,3862,5,2,0,1,1,2,1991,17,1,456700
300,2856,3,3,1,1,1,4,1986,22,0,333600
301,3970,3,1,1,3,0,1,2005,34,0,430000
302,2482,1,2,1,2,1,10,1980,20,0,283200
303,3663,2,3,0,2,0,3,1988,41,0,364800
304,3055,3,2,1,2,0,3,2005,29,1,359000
305,1954,5,1,0,3,0,9,1993,15,1,279900
306,1203,4,1,1,1,0,3,1998,35,0,152800
307,2999,1,3,1,3,0,2,1970,44,1,281900
308,2901,4,3,0,2,1,5,1999,31,1,351600
309,3991,4,2,0,2,0,9,1970,37,1,419600
310,2496,2,3,0,2,0,5,2018,4,1,344600
311,1427,4,1,1,3,0,5,1998,48,1,172700
312,1386,2,3,1,1,1,10,1976,30,0,166600
313,2448,5,3,1,1,1,5,2016,31,0,331300
314,2243,4,3,0,3,0,9,2004,1,1,340800
315,2245,4,2,0,3,1,10,2013,11,1,338000
316,903,4,3,1,1,1,2,2011,3,1,204800
317,1053,5,1,1,3,1,5,1998,16,0,192300
318,3983,3,3,0,3,1,4,1996,31,0,440800
319,3357,3,3,1,3,1,2,1988,0,0,420700
320,2296,5,2,1,3,1,7,1997,48,1,283600
321,898,1,2,0,1,0,1,1987,50,0,51800
322,3000,1,3,1,1,0,1,1971,39,0,275500
323,2684,2,2,0,3,1,5,2009,49,0,283900
324,3761,5,2,1,3,0,8,2012,2,0,503100
325,2719,1,2,1,2,1,9,1978,34,1,288900
326,1677,2,2,1,2,1,7,2013,48,0,197700
327,1137,4,2,1,3,0,4,1992,33,0,156200
328,3669,4,1,1,2,1,9,2012,12,0,468900
329,1756,1,3,0,3,1,3,1973,2,0,216600
330,2504,2,3,0,1,1,3,2016,6,1,339400
331,960,2,3,0,2,0,9,1995,11,1,165500
332,2403,3,3,1,3,0,10,1977,12,1,313300
333,3648,1,3,1,3,1,6,2023,48,1,407800
334,1197,3,2,1,2,1,1,1998,16,0,180700
335,2100,5,2,0,3,0,1,2017,25,0,285500
336,1615,2,3,0,1,0,4,2006,45,0,171000
337,2327,3,1,1,3,1,8,1995,19,1,305200
338,2719,2,2,0,3,1,4,2021,47,1,307400
339,2215,5,2,1,1,0,7,1997,29,1,292000
340,1958,3,1,0,2,0,7,1978,50,0,178800
341,2018,5,3,1,3,0,6,2006,3,0,322300
342,1200,2,2,1,3,0,6,2008,10,0,197000
343,1439,2,3,0,1,0,3,2019,45,0,164400
344,3904,4,2,0,1,1,5,2022,13,0,486900
345,3535,2,1,0,1,1,7,1992,33,0,369000
346,1259,4,2,0,2,1,1,1977,27,1,158400
347,1754,5,1,0,3,0,7,2023,16,1,284400
348,1269,1,1,1,1,0,2,2022,25,1,173400
349,1845,5,3,0,1,1,4,1984,6,0,266500
350,3597,4,1,0,1,1,8,2014,33,0,419200
351,2493,1,3,1,2,1,2,2024,39,0,288800
352,2885,4,3,0,2,0,9,2002,50,1,326500
353,3077,2,2,1,3,0,8,1991,44,1,327700
354,1362,4,2,1,2,1,8,1997,29,0,200700
355,3285,1,3,1,1,0,4,2009,17,1,388000
356,2599,4,3,1,1,0,6,2025,50,1,319900
357,2874,3,3,0,3,0,2,2017,13,1,374900
358,1025,3,3,0,3,0,4,1986,45,0,108000
359,1597,5,1,0,3,1,2,1987,21,1,221200
360,3131,5,1,1,1,1,7,2015,33,0,389600
361,3726,1,3,1,3,1,7,1988,15,0,425100
362,1759,4,2,1,3,0,7,1970,15,0,229400
363,2304,2,2,1,3,0,1,1984,40,1,235400
364,1252,1,3,1,2,0,1,1999,17,0,164700
365,3867,1,2,0,3,0,6,1998,1,1,456200
366,1615,1,1,0,1,1,9,2004,16,0,208500
367,1458,5,2,1,3,1,2,2001,48,1,193800
368,1346,1,2,0,2,0,3,2006,23,1,170100
369,2015,4,3,0,3,1,7,1988,29,1,262000
370,3920,1,3,0,3,1,4,2007,15,1,456500
371,816,2,3,1,3,1,1,1987,39,1,102100
372,2043,1,1,0,1,1,7,1982,5,1,248800
373,3005,5,3,1,1,0,7,1998,36,1,366500
374,3324,5,1,1,3,1,3,1984,36,1,378400
375,1869,2,2,1,1,1,9,1979,43,1,198400
376,3365,1,1,1,3,0,3,2019,24,1,389500
377,2946,1,2,1,1,1,2,2004,10,0,349600
378,2568,1,3,0,3,1,1,1973,7,1,293300
379,1860,5,2,0,3,0,9,1976,22,1,248000
380,3127,1,1,1,1,1,6,1980,36,1,314700
381,3344,5,2,1,1,0,7,1994,26,0,399400
382,1101,5,3,0,2,1,7,1981,12,0,189100
383,980,4,3,0,2,0,2,2021,29,1,172500
384,1406,3,1,1,1,0,10,1985,49,1,150100
385,3970,5,1,0,1,1,1,2013,34,1,457000
386,1499,3,3,1,1,0,4,2014,17,1,234400
387,1792,4,2,0,3,0,5,2025,4,0,292200
388,1939,3,2,0,2,1,2,2025,28,0,257900
389,990,3,2,1,1,1,6,1986,10,0,164000
390,3100,2,3,1,3,0,3,1976,3,0,364500
391,1780,2,2,1,1,1,4,1975,8,0,221000
392,3775,3,1,0,3,1,7,1994,27,0,420000
393,2806,5,3,0,1,1,2,2002,24,1,356600
394,1984,1,3,0,3,0,3,1981,13,0,224900
395,927,1,3,0,3,0,8,2018,42,0,122700
396,2865,4,1,0,2,0,6,1999,40,1,320500
397,2616,5,2,0,3,1,6,2021,29,0,351100
398,2558,3,1,1,2,1,8,1976,20,0,297800
399,3413,2,2,0,2,0,1,2021,34,1,381300
400,1369,1,1,0,3,1,5,1998,42,1,143900
401,2146,3,1,0,3,0,3,2010,48,1,234600
402,2695,1,2,0,1,0,9,2018,23,0,319000
403,3533,2,2,1,2,1,8,1993,19,1,415800
404,1425,2,2,0,2,0,7,2018,5,0,228000
405,3701,5,2,1,3,0,6,1983,44,0,401100
406,2486,3,1,0,1,0,8,1991,5,1,318100
407,3809,3,3,0,1,0,8,1988,23,1,430400
408,954,4,3,1,2,1,7,2024,37,1,184900
409,3337,4,1,0,3,1,9,2011,14,0,426700
410,2209,2,3,1,1,1,9,2013,25,0,291400
411,1584,5,2,1,1,0,1,1981,23,1,209900
412,3975,3,2,1,3,0,3,1982,28,0,425500
413,1045,5,1,0,1,1,10,2006,32,1,178500
414,3910,2,3,1,3,1,3,1972,36,0,398000
415,2300,2,1,1,3,0,4,1997,1,1,307500
416,2505,4,2,1,3,1,1,2022,49,1,306000
417,3606,4,2,0,3,1,9,2021,31,1,450100
418,1337,3,1,0,1,1,9,1976,26,1,164700
419,2690,5,3,1,2,0,3,1972,3,0,346500
420,2641,2,1,1,3,0,7,1995,45,0,272600
421,1720,4,1,0,1,1,9,1986,16,0,231000
422,3255,5,1,0,1,0,4,1993,17,0,384000
423,1324,2,3,0,1,1,3,1987,26,0,155400
424,3675,5,2,1,2,0,10,1998,29,1,448000
425,2329,1,3,0,3,0,10,2015,22,0,293900
426,3750,1,2,1,1,0,3,1993,26,0,391000
427,835,4,1,0,3,1,4,2020,36,0,142500
428,1484,1,2,0,3,0,10,1988,1,0,208900
429,819,2,1,0,3,0,7,2020,49,1,108400
430,3168,4,2,1,1,0,10,2025,47,0,377300
431,3359,5,1,1,3,0,2,2000,13,0,417400
432,1199,3,3,1,2,1,3,2008,17,1,205400
433,3501,1,3,0,2,0,3,1997,28,0,367100
434,1771,1,1,1,2,0,8,1984,28,1,196100
435,2706,4,1,1,3,1,7,1975,18,0,325600
436,3318,2,2,1,3,0,4,2018,27,0,389300
437,1966,1,2,1,3,0,3,2025,38,0,232600
438,1915,5,3,1,2,0,9,2002,22,1,289500
439,1633,2,3,1,3,0,5,2011,2,1,265300
440,2623,1,2,0,2,0,5,1998,48,1,256300
441,3574,1,3,1,2,0,8,1983,7,0,409900
442,2782,5,2,1,2,0,9,2025,46,0,351200
443,1653,1,1,1,1,0,3,2018,3,0,235800
444,850,2,3,1,3,1,4,1988,38,1,114000
445,1374,3,1,0,3,0,3,1995,18,0,180400
446,1948,3,1,1,1,0,8,1973,36,0,200800
447,2997,1,3,1,3,0,3,2003,15,0,353200
448,3161,4,3,0,2,1,5,2025,7,0,432600
449,3417,2,2,1,1,0,9,2010,31,1,396200
450,3152,3,1,0,1,0,8,2024,14,1,404200
451,2515,4,2,1,2,0,2,2007,46,0,282500
452,1481,3,1,0,3,0,5,2017,41,0,182600
453,1637,4,3,0,2,1,6,2011,46,0,209700
454,1877,1,1,0,2,1,8,2003,6,0,249700
455,3850,4,3,1,2,1,5,2011,10,0,491000
456,3291,1,3,1,1,1,5,1980,11,0,369600
457,3460,4,2,1,3,0,9,2021,13,1,464500
458,3840,4,1,1,2,1,10,1979,12,0,455000
459,3111,4,3,1,2,1,6,2023,39,1,394600
460,3924,2,1,1,2,0,4,2014,3,0,473900
461,2395,3,3,1,2,0,10,1971,32,1,273500
462,3851,4,2,1,2,0,2,2005,40,0,423100
463,804,1,3,1,3,1,10,1980,19,0,124900
464,1926,4,1,1,1,0,5,2017,40,0,240600
465,2019,2,3,0,1,1,7,2010,7,1,291400
466,1573,2,3,0,3,0,7,1989,33,1,186800
467,1676,2,2,1,1,0,2,2020,50,1,189600
468,1791,4,3,1,1,1,6,1989,28,1,242100
469,3731,4,2,0,1,0,1,2019,33,1,429600
470,846,4,1,0,3,0,10,2000,21,0,152100
471,3714,3,2,0,2,1,6,1999,7,0,448900
472,3670,4,3,1,3,1,10,1994,34,0,433000
473,3783,5,3,0,3,1,7,1980,48,0,405300
474,3503,2,2,0,1,0,6,2006,32,0,378300
475,1068,4,1,1,3,0,1,1979,29,0,131300
476,1169,3,1,1,2,1,3,1987,5,0,182400
477,1435,1,3,1,1,0,10,1982,30,0,161500
478,1929,2,2,0,2,0,4,1992,30,1,215900
479,2493,4,3,1,3,0,2,2016,23,1,338800
480,2482,4,3,1,1,0,3,1997,33,0,292700
481,1456,1,3,1,2,1,10,2016,37,1,203100
482,919,3,2,0,1,0,7,1999,25,0,135400
483,1630,5,3,0,2,0,5,1973,47,1,178500
484,2610,1,1,0,2,1,10,2011,14,0,323000
485,1881,3,1,1,2,0,7,2022,48,1,233100
486,2774,3,1,1,1,1,3,2021,13,0,361900
487,2169,4,2,1,3,0,5,2017,49,1,269400
488,1540,4,1,0,1,1,4,1989,11,1,220500
489,916,2,2,1,2,1,9,1998,22,0,149600
490,2653,4,1,1,2,1,10,2017,33,1,349800
491,3638,4,1,0,1,0,5,2014,14,1,446800
492,1950,3,1,0,2,0,2,1989,46,0,185000
493,2731,4,3,1,2,0,10,1982,10,1,361100
494,1812,4,2,1,2,0,5,1974,50,0,179200
495,2464,4,3,0,3,0,10,1998,6,1,351400
496,1881,5,3,0,2,0,7,2009,31,0,260600
497,1433,5,2,0,2,0,5,1970,49,0,140800
498,1312,2,3,1,1,1,6,1991,16,1,194200
499,3649,1,3,1,1,1,1,1972,10,1,397900
500,1919,3,1,1,3,1,7,1975,10,1,255900
501,1941,2,2,1,1,1,8,1973,16,1,238100
502,1359,3,1,0,2,1,6,2020,36,1,192900
503,1287,1,2,0,1,0,7,2003,30,0,148700
504,1696,1,3,0,1,0,3,1990,19,1,197100
505,2012,2,2,1,2,0,6,1998,8,0,268200
506,1503,5,2,1,2,0,2,1976,35,0,176800
507,2270,5,3,0,2,1,6,2018,18,0,332000
508,1380,5,3,0,2,1,10,2002,35,1,216500
509,3637,4,1,1,1,1,8,1995,43,0,397200
510,3708,4,1,0,3,0,8,1994,31,1,420300
511,3094,2,3,1,3,0,4,1994,35,1,342900
512,3947,4,1,1,1,0,8,2010,25,1,471200
513,953,3,2,0,3,0,7,1994,35,1,131800
514,2479,2,1,0,2,0,7,1997,15,0,292400
